Cancer,geneA,geneB,p-Value,Log Odds Ratio,Association
Pan-Lung,PTPN6,COL18A1,0.406807407,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,FOXO4,0.607734412,0.101352494,Tendency towards co-occurrence
Pan-Lung,PTPN6,CUX2,0.44814363,0.227088965,Tendency towards co-occurrence
Pan-Lung,PTPN6,ARHGEF10L,0.70417327,-0.085613753,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,TIAM1,0.612852096,-0.053601347,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,ZBTB33,0.339001306,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,RALBP1,0.49424551,0.436323096,Tendency towards co-occurrence
Pan-Lung,COL18A1,FOXO4,0.440619886,0.600666328,Tendency towards co-occurrence
Pan-Lung,COL18A1,CUX2,0.540618595,-0.455614892,Tendency towards mutual exclusivity
Pan-Lung,COL18A1,ARHGEF10L,0.499470361,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,COL18A1,TIAM1,0.010459552,1.358660397,Tendency towards co-occurrence(Significant)
Pan-Lung,COL18A1,ZBTB33,0.137501481,1.22029844,Tendency towards co-occurrence
Pan-Lung,COL18A1,RALBP1,0.062481718,1.72932161,Tendency towards co-occurrence
Pan-Lung,FOXO4,CUX2,0.069169387,1.064045559,Tendency towards co-occurrence
Pan-Lung,FOXO4,ARHGEF10L,0.154605126,1.140812643,Tendency towards co-occurrence
Pan-Lung,FOXO4,TIAM1,0.664127486,-0.024929383,Tendency towards mutual exclusivity
Pan-Lung,FOXO4,ZBTB33,0.49723859,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,FOXO4,RALBP1,0.643833321,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,CUX2,ARHGEF10L,0.293794426,0.514443804,Tendency towards co-occurrence
Pan-Lung,CUX2,TIAM1,0.006280982,0.97150207,Tendency towards co-occurrence(Significant)
Pan-Lung,CUX2,ZBTB33,0.03191439,1.171767426,Tendency towards co-occurrence(Significant)
Pan-Lung,CUX2,RALBP1,0.674084985,-0.162234798,Tendency towards mutual exclusivity
Pan-Lung,ARHGEF10L,TIAM1,0.222409029,0.570507409,Tendency towards co-occurrence
Pan-Lung,ARHGEF10L,ZBTB33,0.566096771,0.21991997,Tendency towards co-occurrence
Pan-Lung,ARHGEF10L,RALBP1,0.590861311,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,TIAM1,ZBTB33,0.424693918,0.271264514,Tendency towards co-occurrence
Pan-Lung,TIAM1,RALBP1,0.448415995,0.32668423,Tendency towards co-occurrence
Pan-Lung,ZBTB33,RALBP1,0.601113699,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,COL18A1,0.568565132,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,FOXO4,0.819362681,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,CUX2,0.666775682,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,ARHGEF10L,0.180637319,2.04553999,Tendency towards co-occurrence
Bladder Uroethelial,PTPN6,TIAM1,0.695484446,-0.125769387,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,ZBTB33,0.367417943,1.020650747,Tendency towards co-occurrence
Bladder Uroethelial,PTPN6,RALBP1,0.636316149,0.115310847,Tendency towards co-occurrence
Bladder Uroethelial,COL18A1,FOXO4,0.688537591,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,CUX2,0.532093814,0.424333592,Tendency towards co-occurrence
Bladder Uroethelial,COL18A1,ARHGEF10L,0.688537591,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,TIAM1,0.672789011,-0.016000341,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,ZBTB33,0.423915006,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,RALBP1,0.476306163,-0.628608659,Tendency towards mutual exclusivity
Bladder Uroethelial,FOXO4,CUX2,0.764979686,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,FOXO4,ARHGEF10L,0.12340509,2.573460047,Tendency towards co-occurrence
Bladder Uroethelial,FOXO4,TIAM1,0.56150959,0.405465108,Tendency towards co-occurrence
Bladder Uroethelial,FOXO4,ZBTB33,0.738826534,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,FOXO4,RALBP1,0.487411229,0.645744942,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,ARHGEF10L,0.235020314,1.691676011,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,TIAM1,0.452432377,0.421213465,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,ZBTB33,0.459859075,0.665996191,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,RALBP1,0.650082941,-0.241162057,Tendency towards mutual exclusivity
Bladder Uroethelial,ARHGEF10L,TIAM1,0.56150959,0.405465108,Tendency towards co-occurrence
Bladder Uroethelial,ARHGEF10L,ZBTB33,0.261173466,1.549333988,Tendency towards co-occurrence
Bladder Uroethelial,ARHGEF10L,RALBP1,0.487411229,0.645744942,Tendency towards co-occurrence
Bladder Uroethelial,TIAM1,ZBTB33,0.214772294,0.875468737,Tendency towards co-occurrence
Bladder Uroethelial,TIAM1,RALBP1,0.250617892,0.557345639,Tendency towards co-occurrence
Bladder Uroethelial,ZBTB33,RALBP1,0.589517445,-0.384845821,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,PTPN6,COL18A1,0.398431581,0.86081158,Tendency towards co-occurrence
Acute Myeloid Leukemia,PTPN6,FOXO4,0.740049573,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,PTPN6,CUX2,0.633867394,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,PTPN6,ARHGEF10L,0.075441826,1.832581464,Tendency towards co-occurrence
Acute Myeloid Leukemia,PTPN6,TIAM1,0.429281244,0.748717032,Tendency towards co-occurrence
Acute Myeloid Leukemia,PTPN6,ZBTB33,0.049338835,2.133508763,Tendency towards co-occurrence(Significant)
Acute Myeloid Leukemia,PTPN6,RALBP1,0.398431581,0.86081158,Tendency towards co-occurrence
Acute Myeloid Leukemia,COL18A1,FOXO4,0.315261719,1.210617347,Tendency towards co-occurrence
Acute Myeloid Leukemia,COL18A1,CUX2,0.436505532,0.720546155,Tendency towards co-occurrence
Acute Myeloid Leukemia,COL18A1,ARHGEF10L,0.472396899,0.595983432,Tendency towards co-occurrence
